J,M,lambda_next,lambda1,alpha,G_norm_sq,D_J,N_M,old_dirichlet_tail_energy,neumann_corrected_tail_energy,old_tail_bound,neumann_corrected_tail_bound,tail_energy_ratio,lambda_xx_finite,lambda_xx_old_tail_lower,lambda_xx_neumann_tail_lower,lambda_xx_lower_improvement,rigorous_part,rigorous_flag
30,29,1105.395692922008,52.637890139143245,1.05,70.18385351885578,10.197238938228862,54.20294602272769,59.98661458062692,5.783668557899233,62.98594530965827,6.072851985794195,0.0964159854383099,36.393407478299366,-89.57848314101717,24.247703506710977,113.82618664772815,Neumann-corrected tail formula; double precision inputs,exploratory_double
30,31,1105.395692922008,52.637890139143245,1.05,70.18385351885578,10.197238938228862,54.20294602272769,59.98661458062692,5.783668557899233,62.98594530965827,6.072851985794195,0.0964159854383099,36.393407478299366,-89.57848314101717,24.247703506710977,113.82618664772815,Neumann-corrected tail formula; double precision inputs,exploratory_double
30,50,1105.395692922008,52.637890139143245,1.05,70.18385351885578,10.197238938228862,55.4220962676214,59.98661458062692,4.564518313005522,62.98594530965827,4.792744228655798,0.076092280668222,36.393407478299366,-89.57848314101717,26.807919020987768,116.38640216200494,Neumann-corrected tail formula; double precision inputs,exploratory_double
30,98,1105.395692922008,52.637890139143245,1.05,70.18385351885578,10.197238938228862,56.75841331590853,59.98661458062692,3.2282012647183933,62.98594530965827,3.389611327954313,0.05381536009803364,36.393407478299366,-89.57848314101717,29.61418482239074,119.19266796340791,Neumann-corrected tail formula; double precision inputs,exploratory_double
30,101,1105.395692922008,52.637890139143245,1.05,70.18385351885578,10.197238938228862,56.75841331590853,59.98661458062692,3.2282012647183933,62.98594530965827,3.389611327954313,0.05381536009803364,36.393407478299366,-89.57848314101717,29.61418482239074,119.19266796340791,Neumann-corrected tail formula; double precision inputs,exploratory_double
30,200,1105.395692922008,52.637890139143245,1.05,70.18385351885578,10.197238938228862,57.80907363743217,59.98661458062692,2.1775409431947494,62.98594530965827,2.286417990354487,0.03630044733176192,36.393407478299366,-89.57848314101717,31.820571497590393,121.39905463860757,Neumann-corrected tail formula; double precision inputs,exploratory_double
49,29,1701.9584478322984,52.637890139143245,1.0319148936170213,70.18385351885578,10.229665819176745,54.20294602272769,59.95418769967904,5.751241676951352,61.86761922200922,5.934791943237034,0.09592727209916216,36.325965036689574,-87.40927340732887,24.456381150215506,111.86565455754437,Neumann-corrected tail formula; double precision inputs,exploratory_double
49,31,1701.9584478322984,52.637890139143245,1.0319148936170213,70.18385351885578,10.229665819176745,54.20294602272769,59.95418769967904,5.751241676951352,61.86761922200922,5.934791943237034,0.09592727209916216,36.325965036689574,-87.40927340732887,24.456381150215506,111.86565455754437,Neumann-corrected tail formula; double precision inputs,exploratory_double
49,50,1701.9584478322984,52.637890139143245,1.0319148936170213,70.18385351885578,10.229665819176745,55.4220962676214,59.95418769967904,4.532091432057641,61.86761922200922,4.676732647974374,0.07559257503011592,36.325965036689574,-87.40927340732887,26.972499740740826,114.3817731480697,Neumann-corrected tail formula; double precision inputs,exploratory_double
49,98,1701.9584478322984,52.637890139143245,1.0319148936170213,70.18385351885578,10.229665819176745,56.75841331590853,59.95418769967904,3.1957743837705124,61.86761922200922,3.29776718325255,0.053303605742749824,36.325965036689574,-87.40927340732887,29.730430670184475,117.13970407751334,Neumann-corrected tail formula; double precision inputs,exploratory_double
49,101,1701.9584478322984,52.637890139143245,1.0319148936170213,70.18385351885578,10.229665819176745,56.75841331590853,59.95418769967904,3.1957743837705124,61.86761922200922,3.29776718325255,0.053303605742749824,36.325965036689574,-87.40927340732887,29.730430670184475,117.13970407751334,Neumann-corrected tail formula; double precision inputs,exploratory_double
49,200,1701.9584478322984,52.637890139143245,1.0319148936170213,70.18385351885578,10.229665819176745,57.80907363743217,59.95418769967904,2.1451140622468685,61.86761922200922,2.2135751493398534,0.0357792198435265,36.325965036689574,-87.40927340732887,31.898814738009868,119.30808814533873,Neumann-corrected tail formula; double precision inputs,exploratory_double
51,29,1807.2342281105848,52.637890139143245,1.03,70.18385351885578,10.230502951607773,54.20294602272769,59.95335056724801,5.750404544520322,61.75195108426545,5.9229166808559315,0.09591464847440433,36.324237337842554,-87.17966483068835,24.478403976130693,111.65806880681905,Neumann-corrected tail formula; double precision inputs,exploratory_double
51,31,1807.2342281105848,52.637890139143245,1.03,70.18385351885578,10.230502951607773,54.20294602272769,59.95335056724801,5.750404544520322,61.75195108426545,5.9229166808559315,0.09591464847440433,36.324237337842554,-87.17966483068835,24.478403976130693,111.65806880681905,Neumann-corrected tail formula; double precision inputs,exploratory_double
51,50,1807.2342281105848,52.637890139143245,1.03,70.18385351885578,10.230502951607773,55.4220962676214,59.95335056724801,4.53125429962661,61.75195108426545,4.667191928615408,0.07557966747069504,36.324237337842554,-87.17966483068835,26.989853480611735,114.1695183113001,Neumann-corrected tail formula; double precision inputs,exploratory_double
51,98,1807.2342281105848,52.637890139143245,1.03,70.18385351885578,10.230502951607773,56.75841331590853,59.95335056724801,3.194937251339482,61.75195108426545,3.2907853688796664,0.053290386961039146,36.324237337842554,-87.17966483068835,29.742666600083222,116.92233143077158,Neumann-corrected tail formula; double precision inputs,exploratory_double
51,101,1807.2342281105848,52.637890139143245,1.03,70.18385351885578,10.230502951607773,56.75841331590853,59.95335056724801,3.194937251339482,61.75195108426545,3.2907853688796664,0.053290386961039146,36.324237337842554,-87.17966483068835,29.742666600083222,116.92233143077158,Neumann-corrected tail formula; double precision inputs,exploratory_double
51,200,1807.2342281105848,52.637890139143245,1.03,70.18385351885578,10.230502951607773,57.80907363743217,59.95335056724801,2.144276929815838,61.75195108426545,2.2086052377103136,0.035765756367705626,36.324237337842554,-87.17966483068835,31.907026862421926,119.08669169311028,Neumann-corrected tail formula; double precision inputs,exploratory_double
99,29,3316.1870787660246,52.637890139143245,1.0161290322580645,70.18385351885578,10.254332340881692,54.20294602272769,59.929521177974095,5.726575155246408,60.896126358264,5.818939270653608,0.09555516284270092,36.27540007259375,-85.51685264393424,24.63752153128653,110.15437417522077,Neumann-corrected tail formula; double precision inputs,exploratory_double
99,31,3316.1870787660246,52.637890139143245,1.0161290322580645,70.18385351885578,10.254332340881692,54.20294602272769,59.929521177974095,5.726575155246408,60.896126358264,5.818939270653608,0.09555516284270092,36.27540007259375,-85.51685264393424,24.63752153128653,110.15437417522077,Neumann-corrected tail formula; double precision inputs,exploratory_double
99,50,3316.1870787660246,52.637890139143245,1.0161290322580645,70.18385351885578,10.254332340881692,55.4220962676214,59.929521177974095,4.507424910352697,60.896126358264,4.580125312132579,0.07521209617154945,36.27540007259375,-85.51685264393424,27.115149448328587,112.63200209226284,Neumann-corrected tail formula; double precision inputs,exploratory_double
99,98,3316.1870787660246,52.637890139143245,1.0161290322580645,70.18385351885578,10.254332340881692,56.75841331590853,59.929521177974095,3.1711078620655684,60.896126358264,3.222254763066626,0.05291395291893382,36.27540007259375,-85.51685264393424,29.830890546460495,115.34774319039474,Neumann-corrected tail formula; double precision inputs,exploratory_double
99,101,3316.1870787660246,52.637890139143245,1.0161290322580645,70.18385351885578,10.254332340881692,56.75841331590853,59.929521177974095,3.1711078620655684,60.896126358264,3.222254763066626,0.05291395291893382,36.27540007259375,-85.51685264393424,29.830890546460495,115.34774319039474,Neumann-corrected tail formula; double precision inputs,exploratory_double
99,200,3316.1870787660246,52.637890139143245,1.0161290322580645,70.18385351885578,10.254332340881692,57.80907363743217,59.929521177974095,2.1204475405419245,60.896126358264,2.154648307324859,0.035382354119679715,36.27540007259375,-85.51685264393424,31.96610345794403,117.48295610187827,Neumann-corrected tail formula; double precision inputs,exploratory_double
101,29,3368.8249689051677,52.637890139143245,1.0158730158730158,70.18385351885578,10.254332340881692,54.20294602272769,59.929521177974095,5.726575155246408,60.88078341889432,5.817473173583652,0.09555516284270092,36.27540007259375,-85.4861667651949,24.640453725426443,110.12662049062133,Neumann-corrected tail formula; double precision inputs,exploratory_double
101,31,3368.8249689051677,52.637890139143245,1.0158730158730158,70.18385351885578,10.254332340881692,54.20294602272769,59.929521177974095,5.726575155246408,60.88078341889432,5.817473173583652,0.09555516284270092,36.27540007259375,-85.4861667651949,24.640453725426443,110.12662049062133,Neumann-corrected tail formula; double precision inputs,exploratory_double
101,50,3368.8249689051677,52.637890139143245,1.0158730158730158,70.18385351885578,10.254332340881692,55.4220962676214,59.929521177974095,4.507424910352697,60.88078341889432,4.578971337501152,0.07521209617154945,36.27540007259375,-85.4861667651949,27.117457397591444,112.60362416278633,Neumann-corrected tail formula; double precision inputs,exploratory_double
101,98,3368.8249689051677,52.637890139143245,1.0158730158730158,70.18385351885578,10.254332340881692,56.75841331590853,59.929521177974095,3.1711078620655684,60.88078341889432,3.2214429074951805,0.05291395291893382,36.27540007259375,-85.4861667651949,29.832514257603385,115.31868102279827,Neumann-corrected tail formula; double precision inputs,exploratory_double
101,101,3368.8249689051677,52.637890139143245,1.0158730158730158,70.18385351885578,10.254332340881692,56.75841331590853,59.929521177974095,3.1711078620655684,60.88078341889432,3.2214429074951805,0.05291395291893382,36.27540007259375,-85.4861667651949,29.832514257603385,115.31868102279827,Neumann-corrected tail formula; double precision inputs,exploratory_double
101,200,3368.8249689051677,52.637890139143245,1.0158730158730158,70.18385351885578,10.254332340881692,57.80907363743217,59.929521177974095,2.1204475405419245,60.88078341889432,2.154105438010844,0.035382354119679715,36.27540007259375,-85.4861667651949,31.967189196572058,117.45335596176696,Neumann-corrected tail formula; double precision inputs,exploratory_double
199,29,6386.730670216047,52.637890139143245,1.0083102493074794,70.18385351885578,10.264397047511384,54.20294602272769,59.919456471344404,5.716510448616717,60.41740209298993,5.764016075613532,0.09540324270715896,36.255004229305264,-84.5797999566746,24.726972078078198,109.30677203475281,Neumann-corrected tail formula; double precision inputs,exploratory_double
199,31,6386.730670216047,52.637890139143245,1.0083102493074794,70.18385351885578,10.264397047511384,54.20294602272769,59.919456471344404,5.716510448616717,60.41740209298993,5.764016075613532,0.09540324270715896,36.255004229305264,-84.5797999566746,24.726972078078198,109.30677203475281,Neumann-corrected tail formula; double precision inputs,exploratory_double
199,50,6386.730670216047,52.637890139143245,1.0083102493074794,70.18385351885578,10.264397047511384,55.4220962676214,59.919456471344404,4.497360203723005,60.41740209298993,4.534734388241479,0.07505675899903734,36.255004229305264,-84.5797999566746,27.185535452822307,111.76533540949691,Neumann-corrected tail formula; double precision inputs,exploratory_double
199,98,6386.730670216047,52.637890139143245,1.0083102493074794,70.18385351885578,10.264397047511384,56.75841331590853,59.919456471344404,3.161043155435877,60.41740209298993,3.18731221212925,0.05275487031407902,36.255004229305264,-84.5797999566746,29.880379805046765,114.46017976172138,Neumann-corrected tail formula; double precision inputs,exploratory_double
199,101,6386.730670216047,52.637890139143245,1.0083102493074794,70.18385351885578,10.264397047511384,56.75841331590853,59.919456471344404,3.161043155435877,60.41740209298993,3.18731221212925,0.05275487031407902,36.255004229305264,-84.5797999566746,29.880379805046765,114.46017976172138,Neumann-corrected tail formula; double precision inputs,exploratory_double
199,200,6386.730670216047,52.637890139143245,1.0083102493074794,70.18385351885578,10.264397047511384,57.80907363743217,59.919456471344404,2.110382833912233,60.41740209298993,2.1279206413962686,0.03522032672178014,36.255004229305264,-84.5797999566746,31.999162946512726,116.57896290318733,Neumann-corrected tail formula; double precision inputs,exploratory_double
203,29,6439.36856035519,52.637890139143245,1.0082417582417582,70.18385351885578,10.265127366692841,54.20294602272769,59.91872615216295,5.7157801294352595,60.41256180726319,5.76288820742511,0.09539221703278702,36.25353145267341,-84.57159216185298,24.727755037823187,109.29934719967616,Neumann-corrected tail formula; double precision inputs,exploratory_double
203,31,6439.36856035519,52.637890139143245,1.0082417582417582,70.18385351885578,10.265127366692841,54.20294602272769,59.91872615216295,5.7157801294352595,60.41256180726319,5.76288820742511,0.09539221703278702,36.25353145267341,-84.57159216185298,24.727755037823187,109.29934719967616,Neumann-corrected tail formula; double precision inputs,exploratory_double
203,50,6439.36856035519,52.637890139143245,1.0082417582417582,70.18385351885578,10.265127366692841,55.4220962676214,59.91872615216295,4.496629884541548,60.41256180726319,4.533690020952605,0.0750454853316208,36.25353145267341,-84.57159216185298,27.186151410768197,111.75774357262117,Neumann-corrected tail formula; double precision inputs,exploratory_double
203,98,6439.36856035519,52.637890139143245,1.0082417582417582,70.18385351885578,10.265127366692841,56.75841331590853,59.91872615216295,3.1603128362544197,60.41256180726319,3.186359370619154,0.052743324820171245,36.25353145267341,-84.57159216185298,29.880812711435098,114.45240487328807,Neumann-corrected tail formula; double precision inputs,exploratory_double
203,101,6439.36856035519,52.637890139143245,1.0082417582417582,70.18385351885578,10.265127366692841,56.75841331590853,59.91872615216295,3.1603128362544197,60.41256180726319,3.186359370619154,0.052743324820171245,36.25353145267341,-84.57159216185298,29.880812711435098,114.45240487328807,Neumann-corrected tail formula; double precision inputs,exploratory_double
203,200,6439.36856035519,52.637890139143245,1.0082417582417582,70.18385351885578,10.265127366692841,57.80907363743217,59.91872615216295,2.109652514730776,60.41256180726319,2.127039760731304,0.0352085675081499,36.25353145267341,-84.57159216185298,31.9994519312108,116.57104409306378,Neumann-corrected tail formula; double precision inputs,exploratory_double
