conjecture,cell_id,verified,J_lower,status,note,run_timestamp
J1,1,1,1.07707939514192219e-02,"ok","",2026-03-07 22:41:51
J1,2,1,1.07338323484569287e-02,"ok","",2026-03-07 22:42:02
J1,3,1,1.04722311573475224e-02,"ok","",2026-03-07 22:42:13
J1,4,1,1.07344660188992691e-02,"ok","",2026-03-07 22:42:26
J1,5,1,1.08938201900361520e-02,"ok","",2026-03-07 22:42:37
J1,6,1,1.07272198186905143e-02,"ok","",2026-03-07 22:42:49
J1,7,1,1.06201669841912150e-02,"ok","",2026-03-07 22:43:00
J1,8,1,1.03491625208835814e-02,"ok","",2026-03-07 22:43:12
J1,9,1,1.08415848550862393e-02,"ok","",2026-03-07 22:43:25
J1,10,1,1.05628880897512545e-02,"ok","",2026-03-07 22:43:37
J1,11,1,1.04646296221559965e-02,"ok","",2026-03-07 22:43:49
J1,12,1,1.01892833472803090e-02,"ok","",2026-03-07 22:44:00
J1,13,1,1.02734853325685549e-02,"ok","",2026-03-07 22:44:12
J1,14,1,9.99925595355577457e-03,"ok","",2026-03-07 22:44:23
J1,15,1,9.89988937220509513e-03,"ok","",2026-03-07 22:44:35
J1,16,1,9.62715949266801374e-03,"ok","",2026-03-07 22:44:47
J1,17,1,1.08731512730084745e-02,"ok","",2026-03-07 22:44:59
J1,18,1,1.05967678195053594e-02,"ok","",2026-03-07 22:45:12
J1,19,1,1.06357362446072301e-02,"ok","",2026-03-07 22:45:24
J1,20,1,1.03715454539479168e-02,"ok","",2026-03-07 22:45:35
J1,21,1,1.02934426270380186e-02,"ok","",2026-03-07 22:45:48
J1,22,1,1.00588902694038751e-02,"ok","",2026-03-07 22:46:01
J1,23,1,1.04948591141305059e-02,"ok","",2026-03-07 22:46:14
J1,24,1,1.02266087549196527e-02,"ok","",2026-03-07 22:46:26
J1,25,1,1.01687448506577738e-02,"ok","",2026-03-07 22:46:39
J1,26,1,9.91148126061069945e-03,"ok","",2026-03-07 22:46:52
J1,27,1,9.94145500007270755e-03,"ok","",2026-03-07 22:47:05
J1,28,1,9.68154821333477855e-03,"ok","",2026-03-07 22:47:17
J1,29,1,9.62806652940528807e-03,"ok","",2026-03-07 22:47:29
J1,30,1,9.36984380414784823e-03,"ok","",2026-03-07 22:47:42
J1,31,1,1.01009760651376013e-02,"ok","",2026-03-07 22:47:54
J1,32,1,9.83772361994184052e-03,"ok","",2026-03-07 22:48:05
J1,33,1,9.77300116078261283e-03,"ok","",2026-03-07 22:48:18
J1,34,1,9.50236852974661872e-03,"ok","",2026-03-07 22:48:32
J1,35,1,9.55242529842337262e-03,"ok","",2026-03-07 22:48:45
J1,36,1,9.28131846477597833e-03,"ok","",2026-03-07 22:48:58
J1,37,1,9.23163283415462388e-03,"ok","",2026-03-07 22:49:11
J1,38,1,8.96212379917216140e-03,"ok","",2026-03-07 22:49:27
J1,39,1,9.42478103779542664e-03,"ok","",2026-03-07 22:49:40
J1,40,1,9.14334272108696666e-03,"ok","",2026-03-07 22:49:54
J1,41,1,9.11677731662585700e-03,"ok","",2026-03-07 22:50:05
J1,42,1,8.83577042988648031e-03,"ok","",2026-03-07 22:50:17
J1,43,1,8.86411662128239186e-03,"ok","",2026-03-07 22:50:29
J1,44,1,8.61039515049277782e-03,"ok","",2026-03-07 22:50:41
J1,45,1,8.57208541365217513e-03,"ok","",2026-03-07 22:50:53
J1,46,1,8.30671423300799461e-03,"ok","",2026-03-07 22:51:05
J1,47,1,1.07746776859372062e-02,"ok","",2026-03-07 22:51:17
J1,48,1,1.08504407184994989e-02,"ok","",2026-03-07 22:51:29
J1,49,1,1.07340901646253428e-02,"ok","",2026-03-07 22:51:42
J1,50,1,1.04603634431903458e-02,"ok","",2026-03-07 22:51:55
J1,51,1,1.09184253127168063e-02,"ok","",2026-03-07 22:52:07
J1,52,1,1.06318189387710760e-02,"ok","",2026-03-07 22:52:20
J1,53,1,1.04887306256991053e-02,"ok","",2026-03-07 22:52:32
J1,54,1,1.02135291512706061e-02,"ok","",2026-03-07 22:52:43
J1,55,1,1.03273589627193019e-02,"ok","",2026-03-07 22:52:55
J1,56,1,1.00629576034432233e-02,"ok","",2026-03-07 22:53:09
J1,57,1,9.92091830356933713e-03,"ok","",2026-03-07 22:53:20
J1,58,1,9.64334990705317807e-03,"ok","",2026-03-07 22:53:32
J1,59,1,1.11056433679710409e-02,"ok","",2026-03-07 22:53:44
J1,60,1,1.09308882120249251e-02,"ok","",2026-03-07 22:53:56
J1,61,1,1.06467873191355977e-02,"ok","",2026-03-07 22:54:08
J1,62,1,1.09609767948164460e-02,"ok","",2026-03-07 22:54:21
J1,63,1,1.10723821027249869e-02,"ok","",2026-03-07 22:54:35
J1,64,1,1.09260122625638445e-02,"ok","",2026-03-07 22:54:47
